PLAYER,TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%,FT,TOV,SF,AND ONE,SCORE,PERCENTILE
,,,,,,,,,,,FREQ%,FREQ%,FREQ%,FREQ%,FREQ%,
Harrison Barnes,SAC,47,0.6,5.9,0.93,0.6,0.2,0.5,43.5,43.5,20.7,6.9,20.7,6.9,44.8,31.9
Nick Richards,CHA,39,0.4,5.5,1.53,0.7,0.3,0.3,90.9,90.9,23.5,11.8,23.5,0,76.5,100
Kevin Love,MIA,39,0.5,6.4,1.24,0.7,0.2,0.3,58.3,58.3,42.9,4.8,23.8,4.8,66.7,89.7
Russell Westbrook,LAC,48,0.9,7.2,0.56,0.5,0.3,0.8,31.6,31.6,6.7,8.9,6.7,0,28.9,2.6
Jalen Smith,IND,36,0.7,8.4,0.96,0.7,0.2,0.4,50,50,20,16,20,0,52,39.7
Cade Cunningham,DET,40,0.8,3.4,0.73,0.6,0.3,0.6,40,40,6.1,18.2,6.1,0,36.4,7.9
James Wiseman,DET,31,0.6,11.5,1.22,0.7,0.3,0.4,75,75,16.7,22.2,11.1,5.6,61.1,88.8
Marcus Smart,MEM,20,1,6.2,1.05,1.1,0.4,0.8,53.3,53.3,20,10,15,5,55,58.6
Marcus Morris Sr.,PHI,36,0.6,9.2,1,0.6,0.3,0.5,50,50,9.5,4.8,4.8,0,52.4,50.9
Jae'Sean Tate,HOU,46,0.3,6.7,1.43,0.4,0.2,0.3,75,75,14.3,7.1,14.3,7.1,71.4,99.1
Jarrett Allen,CLE,42,0.4,3.2,1.11,0.5,0.2,0.3,58.3,58.3,22.2,11.1,11.1,0,61.1,73.7
Day'Ron Sharpe,BKN,37,0.5,7.1,1.05,0.5,0.2,0.3,63.6,63.6,21.1,21.1,21.1,0,57.9,60
Jalen Brunson,NYK,47,0.6,2.2,0.77,0.4,0.2,0.5,41.7,41.7,0,7.7,0,0,38.5,12.1
Mikal Bridges,BKN,48,0.3,1.4,1.36,0.4,0.2,0.3,66.7,66.7,14.3,7.1,14.3,7.1,64.3,94.8
Al Horford,BOS,40,0.4,5.3,1.27,0.5,0.2,0.3,70,70,20,20,20,6.7,60,90.5
Danilo Gallinari,WAS,26,0.6,9.7,1.19,0.7,0.2,0.4,54.5,54.5,31.3,6.3,31.3,6.3,62.5,81.9
Jakob Poeltl,TOR,38,0.6,6.4,0.83,0.5,0.2,0.4,56.3,56.3,4.3,30.4,4.3,4.3,39.1,17.2
RJ Barrett,NYK,25,0.6,3.2,1.2,0.7,0.3,0.4,63.6,63.6,13.3,13.3,13.3,0,60,85
De'Aaron Fox,SAC,41,0.4,1.4,1.2,0.4,0.2,0.3,63.6,63.6,26.7,0,20,0,66.7,85
De'Andre Hunter,ATL,26,0.7,5.2,1,0.7,0.3,0.6,50,50,16.7,11.1,16.7,16.7,44.4,50.9
Nic Claxton,BKN,38,0.3,2.9,1.42,0.4,0.2,0.3,72.7,72.7,8.3,8.3,8.3,8.3,66.7,98.3
Gordon Hayward,CHA,25,0.8,5,0.9,0.7,0.3,0.6,46.7,46.7,10.5,10.5,10.5,0,47.4,25.9
Jalen Duren,DET,34,0.6,5.3,0.77,0.5,0.2,0.4,46.7,46.7,9.1,22.7,9.1,0,40.9,12.9
Deni Avdija,WAS,49,0.4,3.7,0.73,0.3,0.1,0.3,42.9,42.9,18.2,22.7,18.2,4.5,40.9,7.9
Daniel Gafford,WAS,44,0.4,4.1,0.94,0.3,0.1,0.3,50,50,18.8,12.5,18.8,6.3,50,33.6
Bojan Bogdanovic,DET,28,0.6,3.2,0.88,0.5,0.2,0.5,38.5,38.5,17.6,11.8,17.6,5.9,41.2,23.5
Chet Holmgren,OKC,50,0.3,2.3,0.88,0.3,0.1,0.2,54.5,54.5,11.8,23.5,5.9,0,47.1,23.5
Franz Wagner,ORL,42,0.5,2.5,0.71,0.4,0.1,0.3,36.4,36.4,19,28.6,14.3,0,38.1,6.9
Kyle Anderson,MIN,50,0.2,3,1.27,0.3,0.1,0.1,71.4,71.4,27.3,27.3,27.3,18.2,54.5,91.4
Isaiah Hartenstein,NYK,47,0.3,3.9,1.17,0.3,0.1,0.1,42.9,42.9,41.7,8.3,33.3,8.3,58.3,80.2
Onyeka Okongwu,ATL,48,0.3,3.6,1,0.3,0.1,0.2,50,50,14.3,14.3,14.3,0,50,50.9
Duop Reath,POR,38,0.3,3.2,1.3,0.3,0.1,0.2,62.5,62.5,20,0,20,0,70,93.1
Keldon Johnson,SAS,46,0.3,1.7,1,0.3,0.1,0.2,54.5,54.5,15.4,7.7,15.4,7.7,53.8,50.9
P.J. Washington,CHA,42,0.4,2.8,0.81,0.3,0.1,0.3,45.5,45.5,12.5,18.8,12.5,0,43.8,14.7
Evan Mobley,CLE,24,1,6.7,0.54,0.5,0.2,0.8,22.2,22.2,16.7,12.5,16.7,4.2,29.2,0.9
Thomas Bryant,MIA,25,0.4,9.7,1.2,0.5,0.2,0.3,62.5,62.5,10,10,10,0,60,85
Bennedict Mathurin,IND,48,0.2,1.5,1.2,0.3,0.1,0.1,57.1,57.1,40,10,40,20,60,85
Mark Williams,CHA,20,0.6,5.5,1.09,0.6,0.1,0.3,40,40,45.5,9.1,45.5,0,63.6,63.5
D'Angelo Russell,LAL,46,0.2,1.4,1.09,0.3,0.1,0.2,50,50,27.3,9.1,27.3,9.1,54.5,63.5
David Roddy,MEM,47,0.3,2.9,0.92,0.3,0.1,0.3,41.7,41.7,7.7,0,7.7,0,46.2,29.3
Christian Wood,LAL,45,0.4,5.8,0.63,0.3,0.1,0.3,30.8,30.8,15.8,15.8,10.5,0,31.6,4.3
Drew Eubanks,PHX,43,0.2,4.5,1.1,0.3,0.1,0.2,55.6,55.6,10,0,10,0,60,67
Obi Toppin,IND,50,0.2,2.4,1,0.2,0.1,0.2,44.4,44.4,18.2,0,9.1,0,54.5,50.9
Goga Bitadze,ORL,41,0.4,6.3,0.73,0.3,0.1,0.2,33.3,33.3,33.3,6.7,26.7,0,40,10.3
Klay Thompson,GSW,44,0.3,1.5,0.91,0.2,0.1,0.3,45.5,45.5,0,0,0,0,45.5,28.4
Grant Williams,DAL,45,0.3,4,0.67,0.2,0.1,0.2,44.4,44.4,13.3,26.7,13.3,0,40,6
Jalen Johnson,ATL,35,0.3,2.1,0.73,0.2,0.1,0.3,40,40,0,9.1,0,0,36.4,7.9
Santi Aldama,MEM,38,0.3,2.4,0.6,0.2,0.1,0.2,42.9,42.9,0,30,0,0,30,3.4
Josh Giddey,OKC,49,0.2,1.7,0.55,0.1,0.1,0.2,30,30,0,9.1,0,0,27.3,1.7
Draymond Green,GSW,22,0.5,4.9,0.27,0.1,0,0.3,0,0,18.2,18.2,9.1,0,18.2,0
