PLAYER,TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%,FT,TOV,SF,AND ONE,SCORE,PERCENTILE
,,,,,,,,,,,FREQ%,FREQ%,FREQ%,FREQ%,FREQ%,
Jabari Walker,POR,46,0.3,3.1,1.17,0.3,0.1,0.2,57.1,57.1,33.3,8.3,25,0,66.7,91
Delon Wright,WAS,28,0.5,9.6,1.08,0.5,0.1,0.4,40,45,23.1,7.7,23.1,7.7,46.2,76.5
Harrison Barnes,SAC,47,0.3,3.3,0.88,0.3,0.1,0.2,45.5,45.5,18.8,12.5,18.8,0,50,40.8
Jarrett Allen,CLE,42,0.4,3,0.82,0.3,0.1,0.3,42.9,42.9,5.9,11.8,0,0,41.2,33
Bones Hyland,LAC,19,1.2,15.5,0.61,0.7,0.2,1,15.8,23.7,13,4.3,13,0,26.1,9.5
Brook Lopez,MIL,47,0.2,2,1.18,0.3,0.1,0.2,66.7,72.2,0,18.2,0,0,54.5,93.3
Bogdan Bogdanovic,ATL,47,0.4,2.4,0.72,0.3,0.1,0.4,29.4,32.4,5.6,0,5.6,0,33.3,17.9
Jeff Green,HOU,47,0.2,4.2,1.09,0.3,0.1,0.1,60,70,36.4,27.3,36.4,9.1,54.5,80.7
Jalen Johnson,ATL,35,0.3,2.1,1.09,0.3,0.2,0.3,60,60,0,9.1,0,0,54.5,80.7
Donte DiVincenzo,NYK,49,0.2,2,1.09,0.2,0.1,0.2,50,60,0,9.1,0,0,45.5,80.7
Nikola Vucevic,CHI,45,0.2,1.4,1.09,0.3,0.1,0.2,60,60,0,9.1,0,0,54.5,80.7
Precious Achiuwa,TOR,25,0.5,5.9,0.92,0.5,0.2,0.3,75,75,0,38.5,0,0,46.2,48
Gordon Hayward,CHA,25,0.7,4.5,0.71,0.5,0.2,0.5,33.3,33.3,17.6,11.8,17.6,0,41.2,15.6
Derrick White,BOS,45,0.2,1.7,1,0.2,0.1,0.2,44.4,50,9.1,9.1,9.1,0,45.5,65.1
Myles Turner,IND,47,0.3,2,0.79,0.2,0.1,0.2,36.4,36.4,21.4,7.1,21.4,7.1,35.7,26.3
Christian Wood,LAL,45,0.2,3,1,0.2,0,0.1,40,50,40,20,40,10,50,65.1
Herbert Jones,NOP,43,0.3,2.6,0.91,0.2,0.1,0.2,44.4,44.4,18.2,9.1,18.2,9.1,45.5,46.1
Tyus Jones,WAS,49,0.2,1.9,0.91,0.2,0.1,0.2,44.4,50,9.1,18.2,9.1,9.1,36.4,46.1
Josh Green,DAL,36,0.3,3.9,0.83,0.3,0.1,0.2,50,56.3,8.3,25,8.3,0,41.7,36.2
Cody Martin,CHA,17,0.8,8.2,0.77,0.6,0.3,0.6,45.5,45.5,7.7,15.4,7.7,7.7,38.5,22.9
Bilal Coulibaly,WAS,48,0.3,3.4,0.71,0.2,0.1,0.2,40,40,14.3,28.6,14.3,14.3,28.6,16.4
Marcus Sasser,DET,44,0.3,4.9,0.67,0.2,0.1,0.3,25,33.3,6.7,13.3,6.7,0,26.7,10.7
De'Anthony Melton,PHI,33,0.5,4.5,0.56,0.3,0.1,0.5,26.7,30,5.6,11.1,5.6,0,27.8,7.3
Moritz Wagner,ORL,48,0.2,2.4,0.82,0.2,0,0.2,25,25,27.3,0,27.3,0,45.5,32.4
Max Christie,LAL,40,0.3,5.5,0.75,0.2,0.1,0.3,27.3,31.8,8.3,0,8.3,0,33.3,20.9
Cam Whitmore,HOU,26,0.5,4.7,0.69,0.3,0.1,0.5,25,29.2,7.7,0,7.7,0,30.8,12.8
Derrick Rose,MEM,18,0.7,7.2,0.67,0.4,0.2,0.6,36.4,36.4,0,8.3,0,0,33.3,10.7
Dillon Brooks,HOU,40,0.5,3.8,0.4,0.2,0.1,0.4,23.5,23.5,0,15,0,0,20,2.2
Amen Thompson,HOU,30,0.7,9.4,0.38,0.3,0.1,0.3,20,20,14.3,42.9,14.3,4.8,19,1.7
Kevon Looney,GSW,46,0.2,4.5,0.7,0.2,0.1,0.2,33.3,33.3,10,0,10,0,40,14.1
Santi Aldama,MEM,38,0.3,2.4,0.7,0.2,0.1,0.2,33.3,33.3,10,10,10,10,30,14.1
Ausar Thompson,DET,49,0.3,2.9,0.54,0.1,0.1,0.2,33.3,33.3,15.4,15.4,15.4,0,30.8,5.6
Danilo Gallinari,WAS,26,0.5,8.5,0.5,0.3,0.1,0.4,27.3,27.3,7.1,14.3,7.1,0,28.6,4.5
Gary Trent Jr.,TOR,44,0.3,3,0.47,0.2,0.1,0.3,20,23.3,0,0,0,0,20,3.9
Skylar Mays,POR,21,0.5,6.2,0.6,0.3,0.1,0.5,30,30,0,0,0,0,30,8.4
Ish Smith,CHA,41,0.3,5.7,0.55,0.1,0.1,0.2,30,30,0,9.1,0,0,27.3,6.2
Buddy Hield,IND,50,0.2,1.9,0.55,0.1,0.1,0.1,42.9,42.9,0,36.4,0,0,27.3,6.2
Davion Mitchell,SAC,38,0.3,7.2,0.5,0.2,0.1,0.3,27.3,27.3,0,8.3,0,0,25,4.5
John Collins,UTA,47,0.3,2.3,0.43,0.1,0.1,0.3,23.1,23.1,0,7.1,0,0,21.4,2.8
Christian Braun,DEN,51,0.3,4.4,0.38,0.1,0,0.3,15.4,15.4,6.3,12.5,6.3,0,18.8,1.1
RJ Barrett,NYK,25,0.6,3,0.36,0.2,0.1,0.5,15.4,15.4,7.1,7.1,7.1,7.1,14.3,0.6
Patrick Williams,CHI,43,0.3,3.1,0.29,0.1,0,0.3,16.7,16.7,0,14.3,0,0,14.3,0
