PLAYER,TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%,FT,TOV,SF,AND ONE,SCORE,PERCENTILE
,,,,,,,,,,,FREQ%,FREQ%,FREQ%,FREQ%,FREQ%,
Malaki Branham,SAS,45,1.8,19.7,1.04,1.8,0.7,1.5,47.1,56.6,5,12.5,5,2.5,42.5,30.4
Gordon Hayward,CHA,25,2.6,17.1,1.26,3.3,1.3,2.2,61.1,68.5,9.2,12.3,9.2,4.6,55.4,77.1
Cam Whitmore,HOU,26,2.8,26.2,1.12,3.2,1.2,2.1,54.5,56.4,20.5,8.2,19.2,4.1,57.5,48
Bradley Beal,PHX,26,2.8,15.6,1.12,3.2,1.2,2.3,50.8,55.1,15.1,8.2,13.7,4.1,52.1,48
Mike Conley,MIN,45,1.1,11.4,1.6,1.8,0.6,1,60,82.2,6,4,2,0,60,98.3
Caleb Martin,MIA,33,1.9,18.3,1.25,2.4,0.8,1.6,53.8,59.6,18.8,3.1,17.2,3.1,59.4,73.5
David Roddy,MEM,47,1.8,18.9,0.93,1.7,0.6,1.3,45,50.8,15.1,18.6,15.1,3.5,43,16.2
De'Andre Hunter,ATL,26,2.7,20.5,1.11,3,1,2.1,47.3,57.3,15.5,11.3,15.5,4.2,47.9,46.1
Dennis Schroder,TOR,49,1.7,11.8,0.96,1.6,0.5,1.2,43.9,52.6,16,17.3,12.3,3.7,42,20.6
Chris Boucher,TOR,44,1.5,26.2,1.19,1.8,0.6,1.2,51.9,59.6,16.9,10.8,16.9,7.7,50.8,60.9
Dante Exum,DAL,32,1.9,24,1.27,2.4,1,1.5,68.1,71.3,11.7,13.3,11.7,3.3,61.7,77.9
Andrew Wiggins,IND,36,1.8,17.1,1.21,2.1,0.9,1.3,66,73.4,9.5,19,9.5,3.2,55.6,65.7
Darius Garland,CLE,23,3.2,15.6,1.03,3.3,1.2,2.3,50.9,56.6,15.1,17.8,15.1,5.5,46.6,28.4
Malcolm Brogdon,POR,39,2.3,14.7,0.83,1.9,0.7,1.9,35.6,42.5,11.2,7.9,11.2,1.1,38.2,7.5
Josh Richardson,MIA,40,1.8,19,1,1.8,0.7,1.6,45.2,51.6,8.2,9.6,8.2,2.7,43.8,23.6
Trey Murphy III,NOP,24,2.8,24.8,1.08,3,1.1,2.5,45,56.7,3,6.1,1.5,0,43.9,37.4
Julian Champagnie,SAS,43,1.3,23.4,1.19,1.6,0.6,1.1,51,65.3,5.2,12.1,5.2,1.7,46.6,62.6
Amir Coffey,LAC,36,1.3,28.7,1.51,1.9,0.7,0.9,75.8,78.8,26.7,8.9,26.7,8.9,73.3,95.9
Nic Claxton,BKN,38,1.4,12.6,1.31,1.8,0.8,1.1,67.4,67.4,17.3,3.8,15.4,3.8,67.3,84.3
Brandin Podziemski,GSW,40,1.5,15.7,1.1,1.7,0.7,1.2,58.3,62.5,11.5,16.4,11.5,6.6,50.8,41.2
Jakob Poeltl,TOR,38,1.1,12,1.53,1.7,0.7,0.9,77.1,77.1,27.9,2.3,27.9,11.6,74.4,96.2
Aaron Wiggins,OKC,47,1.2,23.9,1.18,1.4,0.6,1,55.3,61.7,10.7,7.1,10.7,1.8,55.4,59.1
Sam Hauser,BOS,48,1.4,19.9,1,1.4,0.5,1.3,40,53.3,1.5,7.6,0,0,37.9,23.6
Reggie Jackson,DEN,51,1.3,11.1,1,1.3,0.5,1.1,44.4,50.9,9.2,9.2,9.2,1.5,44.6,23.6
Rudy Gobert,MIN,49,1,8,1.36,1.3,0.5,0.7,76.5,76.5,23.4,8.5,23.4,4.3,72.3,89
Kevin Knox II,DET,31,1.6,22.7,1.31,2.1,0.9,1.4,65.1,68.6,8.2,8.2,8.2,4.1,61.2,84.1
Brook Lopez,MIL,47,1.1,9.1,1.25,1.4,0.5,1,46.9,60.2,7.8,0,7.8,3.9,49,75.1
Vince Williams Jr.,MEM,38,1.5,18,1.1,1.7,0.5,1,54.1,67.6,15.5,20.7,15.5,0,50,43.3
Payton Pritchard,BOS,49,1.3,16.9,1.02,1.3,0.5,1.1,42.9,53.6,6.3,6.3,3.2,1.6,41.3,27.5
Cam Reddish,LAL,34,1.9,26,0.98,1.9,0.7,1.6,47.2,54.7,6.2,13.8,6.2,1.5,43.1,22
Matisse Thybulle,POR,48,1.3,22.7,1.05,1.3,0.5,1.1,43.4,56.6,3.3,8.3,3.3,0,41.7,32.2
Al Horford,BOS,40,1.2,16.7,1.32,1.6,0.6,1.1,54.5,70.5,0,6.4,0,0,51.1,85.5
