PLAYER,TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%,FT,TOV,SF,AND ONE,SCORE,PERCENTILE
,,,,,,,,,,,FREQ%,FREQ%,FREQ%,FREQ%,FREQ%,
Alex Caruso,CHI,43,4.2,44.4,1.08,4.5,1.5,3.8,39.6,56.7,2.2,6.1,1.1,0,38.5,59.6
Duncan Robinson,MIA,45,3.4,28.2,1.25,4.3,1.4,3.2,45.5,64.3,3.2,4.5,2.6,0.6,44.8,90.6
Jabari Smith Jr.,HOU,44,3.6,28.8,1.22,4.4,1.5,3.4,45,62.1,3.8,3.2,3.8,1.3,44.9,84.4
Lauri Markkanen,UTA,41,3.9,20.2,1.2,4.7,1.6,3.8,41.9,60.6,2.5,2.5,2.5,1.2,41.6,80.8
Dillon Brooks,HOU,40,4.3,32.3,1.13,4.8,1.7,3.8,45.3,59,5.9,7.6,5.3,1.8,44.1,68.7
Chet Holmgren,OKC,50,3.8,25.3,1.01,3.8,1.4,3.3,40.7,51.5,6.3,6.8,6.3,1.1,41.1,42.2
P.J. Washington,CHA,42,5.1,37,0.89,4.6,1.6,4.5,35.4,46,7,6,5.6,0.9,36.3,21.2
Devin Vassell,SAS,45,3.6,21.2,1.17,4.2,1.5,3.4,43.7,55.6,9.1,2.4,9.1,3.7,45.7,74
Collin Sexton,UTA,51,3.2,19.5,1.18,3.7,1.3,2.6,48.1,63.7,7.5,9.3,7.5,0.6,47.2,76.7
Alec Burks,DET,42,4,35,1.14,4.5,1.5,3.6,41.2,56.5,6,2.4,4.2,0,43.7,70.2
Patrick Williams,CHI,43,4.7,45.8,0.93,4.4,1.6,4.1,38.1,51.1,3.9,11.3,3.9,1.5,34.8,27.1
Jordan Hawkins,NOP,44,4,40.8,1.06,4.2,1.3,3.6,37.6,52.2,6.3,4,6.3,0,40,55.5
Jalen Johnson,ATL,35,5.1,34.7,1.04,5.3,1.9,4.2,43.9,54.7,9.5,8.9,8.4,1.1,44.7,51
Corey Kispert,WAS,48,3.6,35.1,1.06,3.9,1.4,3.2,43.1,56.9,5.7,8.6,5.7,1.7,41.1,54.1
CJ McCollum,NOP,34,4.2,23.8,1.28,5.4,1.9,4,47.8,64.3,4.9,1.4,4.9,1.4,49,93.5
Jrue Holiday,BOS,45,3.4,25.2,1.21,4.1,1.4,3,46.6,64.3,5.3,7.9,5.3,1.3,45,82.3
Deni Avdija,WAS,49,3.3,27,1.13,3.7,1.4,2.9,47.5,57.1,10.5,6.2,10.5,3.7,48.1,69
Isaiah Joe,OKC,47,2.9,40.4,1.32,3.9,1.3,2.7,46.9,66.4,5.1,3.6,4.3,1.4,47.1,95.6
D'Angelo Russell,LAL,46,3.2,19.6,1.22,4,1.3,3.2,42.8,61.4,2,1.3,2,0.7,43,84.1
Grant Williams,DAL,45,4.2,50.1,0.96,4,1.3,3.7,35.7,49.7,5.9,6.4,4.8,1.6,36.2,32.8
Jeremy Sochan,SAS,50,3.8,28.7,0.96,3.6,1.2,3.3,37.3,49.1,6.4,6.9,5.9,1.6,37.8,32.8
Brook Lopez,MIL,47,3.9,32.7,0.98,3.8,1.3,3.7,35.8,49.4,2.2,2.7,1.6,0.5,35.9,36
Jonathan Kuminga,GSW,45,3.9,28.1,1.02,4,1.5,3.4,43.7,54,7.4,7.4,7.4,0.6,42.6,44.8
Kentavious Caldwell-Pope,DEN,49,3.1,32,1.17,3.6,1.2,2.8,44.1,59.9,4.7,5.3,4.7,0.7,44,74.9
Santi Aldama,MEM,38,4.6,41.9,1.01,4.6,1.6,4.2,37.3,51.9,4.6,4.6,4,0.6,38.2,42.6
Pascal Siakam,TOR,39,4.4,21.7,1.01,4.5,1.6,3.8,41.5,52,9.2,9.2,8.1,3.5,41,42.6
Obi Toppin,IND,50,2.9,32,1.19,3.5,1.2,2.6,47.3,63,4.8,7.5,4.8,2.1,45.2,79.1
Matisse Thybulle,POR,48,3.3,59.1,1.11,3.6,1.2,3,40.4,57.2,3.2,3.8,3.2,0.6,40.4,66.1
Simone Fontecchio,UTA,49,3.5,40.8,1.02,3.6,1.2,3.2,38.1,53.2,3.5,6.4,3.5,0.6,36.8,45.1
Spencer Dinwiddie,BKN,46,3.2,23.8,1.19,3.8,1.2,2.9,41.8,60.1,6.2,2.1,5.5,0.7,44.1,79.6
Jayson Tatum,BOS,46,2.9,11.8,1.28,3.7,1.2,2.5,48.7,65.8,8.2,6,8.2,1.5,49.3,93.2
De'Aaron Fox,SAC,41,4,15.6,1.04,4.2,1.4,3.7,38.2,51.3,6.1,2.4,5.5,0.6,40.6,49.9
Jalen Suggs,ORL,46,3.6,28.5,1.02,3.7,1.2,3.2,37.8,54.4,4.8,6.6,4.8,0.6,37.3,46.6
Franz Wagner,ORL,42,4,20,1.01,4,1.4,3.7,38.5,50.6,3.6,3.6,3,0,39.3,40.7
Tyrese Maxey,PHI,44,3.1,13,1.24,3.8,1.3,2.8,45.5,60.6,8.1,3,7.4,2.2,47.4,89.1
Brandon Ingram,NOP,44,3.4,16.2,1.13,3.8,1.3,2.9,44.2,56.6,10.7,6,10.7,3.4,45.6,68.4
Malik Monk,SAC,46,3.4,23.2,1.06,3.6,1.2,3.1,38.5,53.5,5.1,3.8,4.5,0.6,39.1,55.8
Bobby Portis,MIL,49,3.1,26.3,1.09,3.4,1.2,2.9,41.7,55.2,3.3,2,3.3,0.7,41.7,61.1
Anthony Edwards,MIN,47,3.3,13.1,1.06,3.5,1.2,2.8,42,53.8,11,6.5,10.3,1.9,44.5,56
Herbert Jones,NOP,43,4.1,41.6,0.94,3.8,1.3,3.7,36.1,50,2.3,8,1.7,0,34.7,28.6
Desmond Bane,MEM,37,3.7,16,1.16,4.3,1.6,3.3,47.9,60.7,5.9,6.6,5.9,1.5,47.1,73.2
Josh Hart,NYK,48,3.6,43.1,0.9,3.3,1.2,3.4,34.8,44.8,5.2,2.9,4.6,2.3,35.1,22.7
Klay Thompson,GSW,44,3.2,18.8,1.11,3.5,1.3,3.1,40.9,55.5,2.1,2.1,2.1,1.4,40.4,65.2
Tobias Harris,PHI,44,2.8,17,1.27,3.5,1.3,2.6,48.7,63.9,4.1,3.3,4.1,2.5,47.9,92.9
David Roddy,MEM,47,3.7,38.5,0.88,3.3,1.2,3.3,35.5,46.1,4.6,7.4,4.6,0.6,34.9,20.1
Josh Richardson,MIA,40,3.7,38.7,1.02,3.8,1.3,3.5,37,50.7,4,4,3.4,0.7,37.6,46
Cole Anthony,ORL,49,2.7,20.8,1.15,3.1,1.1,2.4,45.8,59.7,5.3,6.9,4.6,2.3,44.3,72.3
Bennedict Mathurin,IND,48,2.8,19.8,1.1,3.1,1.1,2.2,47.7,56.5,14.7,10.3,13.2,3.7,48.5,63.7
Damian Lillard,MIL,46,2.6,11.3,1.23,3.2,1,2.3,44.4,60.2,7.4,3.3,5,0,47.1,86.1
OG Anunoby,TOR,27,5.1,36.5,1.06,5.5,1.9,4.7,41.3,55.6,4.3,6.5,4.3,1.4,40.3,56.3
Cedi Osman,SAS,50,2.9,43.2,1.01,3,1.1,2.7,39.7,53.3,2.7,5.5,2.7,1.4,37.7,43.8
Andrew Wiggins,GSW,42,3.5,26.3,1.01,3.5,1.2,3,39.1,51.2,7.5,6.2,6.8,1.4,40.4,43.8
Quentin Grimes,NYK,44,3.4,46.9,0.99,3.4,1.2,3.3,35.4,50,2.7,2.7,2.7,1.3,34.7,37.8
Jalen Green,HOU,49,3.2,16.7,0.95,3,1,2.9,35,46.8,7.1,4.5,7.1,1.3,37.2,30.1
Shai Gilgeous-Alexander,OKC,49,2.7,10.5,1.1,3,1.1,2.3,47.8,52.2,13.5,5.3,12,3.8,50.4,64.8
Bilal Coulibaly,WAS,48,2.8,32.8,1.08,3,1.1,2.5,42.5,56.3,5.9,7.4,5.2,2.2,41.5,58.7
Josh Giddey,OKC,49,3.5,26.4,0.85,3,1.1,3.2,34.6,44.9,2.9,6.4,2.9,0.6,33.9,17.1
Mike Conley,MIN,45,2.8,29.3,1.13,3.2,1.1,2.7,39.8,56.5,2.3,1.6,2.3,0,40.6,68
Jalen Williams,OKC,44,2.9,17.5,1.13,3.3,1.2,2.7,44.1,58.1,4.7,5.5,3.9,2.3,43,68
Rui Hachimura,LAL,36,3.6,34.7,1.1,4,1.5,3.3,44.2,57.1,3.8,4.6,3.1,0,44.3,61.9
Vince Williams Jr.,MEM,38,3.5,41.6,1.07,3.8,1.3,3.2,39.3,55.7,3.7,5.2,3.7,0,39.6,56.9
Jaylen Brown,BOS,45,3.3,15.4,0.96,3.2,1.1,3,36.5,46.4,7.4,3.4,6.7,2.7,37.6,32.4
