PLAYER,TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%,FT,TOV,SF,AND ONE,SCORE,PERCENTILE
,,,,,,,,,,,FREQ%,FREQ%,FREQ%,FREQ%,FREQ%,
Blake Wesley,SAS,29,0.9,22,1.19,1.1,0.4,0.7,63.2,63.2,23.1,15.4,19.2,11.5,57.7,97.9
Dante Exum,DAL,32,1.1,14,0.89,1,0.4,0.9,42.9,44.6,11.4,8.6,11.4,0,45.7,54.5
Cedi Osman,SAS,50,0.8,11.5,0.8,0.6,0.2,0.6,41.4,43.1,10.3,15.4,7.7,0,41,33.3
Nickeil Alexander-Walker,MIN,50,1.2,16.3,0.53,0.6,0.2,0.9,27.3,31.8,3.4,20.7,1.7,0,24.1,7.7
Jacob Gilyard,MEM,33,1,23.6,0.88,0.9,0.4,0.8,48,60,0,26.5,0,0,35.3,52.2
Bones Hyland,LAC,19,1.8,23.6,0.86,1.6,0.6,1.4,44.4,51.9,2.9,20,2.9,0,37.1,47.4
Landry Shamet,WAS,32,0.9,12.1,1.04,0.9,0.2,0.7,33.3,45.2,21.4,7.1,17.9,3.6,42.9,85.5
Taurean Prince,LAL,47,0.5,5.7,1.12,0.6,0.2,0.4,57.9,68.4,8,20,8,4,48,94.4
Trendon Watford,BKN,34,0.9,17.2,0.9,0.8,0.4,0.7,54.2,54.2,6.5,19.4,6.5,3.2,45.2,59.2
Miles McBride,NYK,36,0.9,19.5,0.82,0.8,0.3,0.9,38.7,43.5,2.9,5.9,0,0,38.2,41.2
Anthony Davis,LAL,46,0.7,3.2,0.84,0.6,0.2,0.5,45.5,47.7,21.9,12.5,21.9,3.1,43.8,44.9
Cody Martin,CHA,17,2.3,24.5,0.69,1.6,0.6,1.6,39.3,46.4,7.7,25.6,7.7,5.1,28.2,17.9
Malik Beasley,MIL,47,0.9,10,0.61,0.6,0.2,0.9,27.5,33.8,0,9.1,0,0,25,13.2
Kris Dunn,UTA,43,1.3,21.2,0.5,0.6,0.3,0.9,32.4,32.4,5.6,25.9,3.7,0,27.8,4.4
Davion Mitchell,SAC,38,0.8,19.2,0.81,0.7,0.3,0.6,50,52.3,9.4,25,6.3,3.1,37.5,37.6
Max Strus,CLE,47,1.2,8.8,0.47,0.6,0.2,0.8,23.7,28.9,3.6,29.1,3.6,1.8,18.2,3.8
Karl-Anthony Towns,MIN,49,0.7,3.2,0.78,0.5,0.2,0.5,38.5,44.2,3.1,15.6,3.1,0,34.4,29.6
Naji Marshall,NOP,39,0.9,12,0.71,0.6,0.2,0.6,33.3,33.3,17.1,14.3,17.1,0,40,20.9
Harrison Barnes,SAC,47,0.4,4.3,1.14,0.5,0.2,0.3,53.3,63.3,28.6,9.5,28.6,9.5,52.4,96.2
Royce O'Neale,BKN,47,0.6,7.3,0.92,0.5,0.2,0.4,42.1,55.3,7.7,19.2,7.7,0,38.5,65
P.J. Washington,CHA,42,0.7,5.3,0.77,0.6,0.2,0.7,35.7,41.1,3.2,9.7,3.2,3.2,32.3,27.8
Anthony Black,ORL,46,0.7,13.7,0.73,0.5,0.2,0.5,39.1,41.3,15.2,18.2,15.2,3,36.4,21.9
Jose Alvarado,NOP,30,1.5,20.9,0.55,0.8,0.3,1.1,23.5,27.9,11.4,11.4,9.1,0,25,8.2
Ausar Thompson,DET,49,0.4,4.6,1.09,0.5,0.2,0.3,66.7,70,14.3,19,14.3,4.8,52.4,91.9
Michael Porter Jr.,DEN,51,0.5,3.7,0.85,0.5,0.2,0.5,43.5,50,0,14.8,0,0,37,46.2
