PLAYER,TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%,FT,TOV,SF,AND ONE,SCORE,PERCENTILE
,,,,,,,,,,,FREQ%,FREQ%,FREQ%,FREQ%,FREQ%,
Bennedict Mathurin,IND,48,0.6,4.2,0.9,0.5,0.2,0.5,40,42,13.8,6.9,13.8,6.9,41.4,36.5
DeMar DeRozan,CHI,48,0.6,2.9,0.9,0.5,0.2,0.5,43.5,43.5,10.3,10.3,10.3,0,44.8,36.5
Naz Reid,MIN,50,0.6,5.6,0.81,0.5,0.2,0.6,39.3,44.6,3.1,12.5,3.1,3.1,34.4,22.9
Bradley Beal,PHX,26,1.1,6,0.89,1,0.4,0.9,45.8,52.1,0,14.3,0,0,39.3,35.7
Gary Harris,ORL,29,1,15.1,0.83,0.8,0.3,0.8,34.8,37,13.8,6.9,6.9,0,41.4,25.5
Trey Murphy III,NOP,24,0.7,6.4,1.35,1,0.2,0.5,36.4,54.5,35.3,0,35.3,0,58.8,90.4
Jamal Murray,DEN,37,0.5,2.6,1.21,0.6,0.2,0.5,47.1,58.8,10.5,5.3,10.5,5.3,47.4,83.4
Jalen Green,HOU,49,0.6,3,0.82,0.5,0.2,0.5,34.8,39.1,10.7,7.1,7.1,0,39.3,24.2
Victor Wembanyama,SAS,44,0.5,2.2,1.05,0.5,0.2,0.4,47.4,50,9.5,4.8,9.5,4.8,47.6,54.8
Isaiah Joe,OKC,47,0.5,6.4,1,0.5,0.1,0.4,33.3,44.4,13.6,9.1,13.6,4.5,36.4,50.3
Scottie Barnes,TOR,49,0.5,2.3,0.96,0.4,0.2,0.4,42.1,47.4,13,13,13,8.7,39.1,47.1
Saddiq Bey,ATL,48,0.5,4.2,0.85,0.5,0.1,0.3,25,34.4,30.8,11.5,30.8,3.8,42.3,28
Donovan Mitchell,CLE,38,0.9,3.5,0.63,0.6,0.2,0.9,26.5,32.4,0,2.9,0,0,25.7,7.6
Andrew Wiggins,GSW,42,0.9,6.7,0.59,0.5,0.2,0.7,30,35,5.4,13.5,5.4,0,27,3.2
Jayson Tatum,BOS,46,0.4,1.7,1.1,0.5,0.2,0.4,41.2,47.1,15.8,0,15.8,5.3,47.4,65
De'Anthony Melton,PHI,33,0.7,5.8,0.91,0.6,0.2,0.7,34.8,45.7,0,0,0,0,34.8,42.9
LaMelo Ball,CHA,22,1,4.2,0.91,1,0.4,0.9,42.1,55.3,0,17.4,0,0,34.8,42.9
OG Anunoby,TOR,27,1,6.8,0.81,0.8,0.3,0.8,40.9,47.7,0,15.4,0,0,34.6,21
Moses Moody,GSW,34,0.8,10,0.78,0.6,0.2,0.6,31.8,36.4,11.1,11.1,11.1,3.7,33.3,18.5
Austin Reaves,LAL,50,0.2,1.7,1.67,0.4,0.1,0.2,66.7,83.3,16.7,8.3,16.7,0,66.7,100
Kristaps Porzingis,BOS,36,0.5,3,1.11,0.6,0.1,0.4,33.3,46.7,22.2,0,22.2,5.6,44.4,67.1
Paolo Banchero,ORL,50,0.5,2,0.79,0.4,0.1,0.4,33.3,36.1,16.7,8.3,16.7,0,41.7,20.4
Tobias Harris,PHI,44,0.7,4.1,0.66,0.4,0.1,0.6,24,28,17.2,0,10.3,3.4,27.6,9.6
Quentin Grimes,NYK,44,0.3,4.1,1.39,0.4,0.1,0.3,50,75,0,7.7,0,0,46.2,91.7
Malaki Branham,SAS,45,0.3,3.4,1.29,0.4,0.2,0.3,58.3,66.7,7.1,7.1,7.1,0,57.1,87.8
Ziaire Williams,MEM,44,0.3,3.8,1.2,0.4,0.1,0.2,50,70,13.3,20,13.3,0,46.7,82.8
Caleb Houstan,ORL,36,0.4,9.5,1.13,0.5,0.2,0.4,40,60,0,6.3,0,0,37.5,71.2
Cole Anthony,ORL,49,0.4,3,0.95,0.4,0.1,0.3,37.5,46.9,10.5,10.5,10.5,5.3,36.8,45.9
Pascal Siakam,TOR,39,0.6,2.9,0.78,0.5,0.2,0.5,28.6,35.7,8.7,0,8.7,0,34.8,19.7
Kentavious Caldwell-Pope,DEN,49,0.5,5.3,0.72,0.4,0.1,0.5,26.1,34.8,8,4,8,4,28,13.4
Jalen Brunson,NYK,47,0.3,1,1.42,0.4,0.1,0.2,54.5,77.3,0,8.3,0,0,50,93.6
Shai Gilgeous-Alexander,OKC,49,0.3,1.2,1.13,0.3,0.1,0.2,45.5,45.5,26.7,6.7,26.7,6.7,53.3,72.6
Malik Monk,SAC,46,0.4,3,0.85,0.4,0.1,0.4,33.3,41.7,10,0,10,0,35,28.7
Fred VanVleet,HOU,47,0.4,2.8,0.81,0.4,0.1,0.4,28.6,40.5,0,0,0,0,28.6,21.7
Coby White,CHI,50,0.5,2.6,0.71,0.3,0.1,0.4,27.3,38.6,4.2,4.2,4.2,0,25,12.7
Kevin Love,MIA,39,0.3,3.7,1.33,0.4,0.2,0.3,50,66.7,0,0,0,0,50,89.2
Grayson Allen,PHX,43,0.3,2.9,1.23,0.4,0.1,0.3,54.5,68.2,7.7,15.4,7.7,7.7,46.2,85.4
Caris LeVert,CLE,37,0.4,2.4,1.14,0.4,0.2,0.4,53.8,61.5,0,7.1,0,0,50,74.8
Keegan Murray,SAC,43,0.7,5,0.52,0.4,0.2,0.7,25,28.6,0,9.7,0,0,22.6,1.9
Julian Champagnie,SAS,43,0.2,4,1.5,0.3,0.1,0.2,50,75,0,0,0,0,50,97.4
Kyle Lowry,MIA,37,0.3,3.2,1.5,0.4,0.1,0.2,55.6,77.8,10,0,10,0,60,97.4
Luguentz Dort,OKC,48,0.2,2.3,1.36,0.3,0.1,0.2,66.7,77.8,9.1,9.1,9.1,0,63.6,91.1
Dennis Schroder,TOR,49,0.3,2,1.07,0.3,0.1,0.3,46.2,57.7,0,7.1,0,0,42.9,57.7
De'Andre Hunter,ATL,26,0.6,4.3,1,0.6,0.2,0.4,36.4,45.5,20,6.7,13.3,0,46.7,50.3
Josh Richardson,MIA,40,0.4,4.4,0.88,0.4,0.1,0.4,31.3,37.5,11.8,0,11.8,5.9,35.3,33.5
Jaden Ivey,DET,45,0.4,2.5,0.88,0.3,0.1,0.3,38.5,50,5.9,17.6,5.9,0,35.3,33.5
Khris Middleton,MIL,41,0.4,3,0.83,0.4,0.1,0.3,35.7,50,5.6,16.7,5.6,0,33.3,26.5
Deni Avdija,WAS,49,0.2,1.7,1.4,0.3,0.1,0.1,71.4,85.7,10,20,10,0,60,92.4
Kelly Olynyk,UTA,49,0.2,3.2,1.17,0.3,0.1,0.2,50,62.5,25,16.7,25,8.3,50,81.4
Keldon Johnson,SAS,46,0.3,1.7,1.08,0.3,0.1,0.3,41.7,50,7.7,0,7.7,0,46.2,58.6
Zach LaVine,CHI,25,0.6,3.4,0.88,0.6,0.2,0.6,35.7,46.4,6.3,12.5,6.3,6.3,31.3,32.5
Bam Adebayo,MIA,40,0.3,1.3,1.18,0.3,0.2,0.3,54.5,54.5,9.1,0,9.1,9.1,54.5,82.2
Nickeil Alexander-Walker,MIN,50,0.2,3.4,1.08,0.3,0.1,0.2,50,65,0,16.7,0,0,41.7,60.8
David Roddy,MEM,47,0.3,2.6,1.08,0.3,0.1,0.2,45.5,54.5,8.3,0,8.3,0,50,60.8
Tyus Jones,WAS,49,0.2,2.1,1.08,0.3,0.1,0.2,50,54.2,0,0,0,0,50,60.8
Darius Garland,CLE,23,0.7,3.2,0.87,0.6,0.2,0.6,38.5,50,0,13.3,0,0,33.3,31.2
Jaden Hardy,DAL,44,0.5,5.2,0.65,0.3,0.1,0.4,26.3,34.2,0,5,0,0,25,8.9
Jaden McDaniels,MIN,40,0.3,2.9,1,0.3,0.1,0.3,50,60,0,16.7,0,0,41.7,50.3
Anthony Davis,LAL,46,0.4,1.9,0.63,0.3,0.1,0.4,29.4,29.4,5.3,5.3,0,0,31.6,8.3
Brandin Podziemski,GSW,40,0.5,5.1,0.6,0.3,0.1,0.5,25,30,0,0,0,0,25,3.9
Tyrese Haliburton,IND,37,0.3,1.4,1.1,0.3,0.1,0.2,44.4,61.1,0,10,0,0,40,64.3
Jaime Jaquez Jr.,MIA,44,0.3,2.6,0.73,0.3,0.1,0.3,35.7,39.3,6.7,6.7,6.7,6.7,33.3,14.6
Deandre Ayton,POR,34,0.3,2.3,0.91,0.3,0.1,0.3,50,50,0,9.1,0,0,45.5,41.7
Jalen Johnson,ATL,35,0.3,2.1,0.91,0.3,0.1,0.3,40,45,18.2,0,18.2,9.1,45.5,41.7
Gradey Dick,TOR,28,0.4,8.6,0.83,0.4,0.1,0.3,22.2,27.8,25,0,16.7,0,41.7,26.5
Immanuel Quickley,NYK,29,0.4,3,0.83,0.3,0.1,0.3,30,40,8.3,8.3,8.3,0,33.3,26.5
Lonnie Walker IV,BKN,30,0.4,3.8,0.77,0.3,0.1,0.4,30.8,38.5,0,0,0,0,30.8,16.7
Jalen Suggs,ORL,46,0.3,2.2,0.77,0.2,0.1,0.2,40,50,0,23.1,0,0,30.8,16.7
Talen Horton-Tucker,UTA,32,0.3,2.6,0.9,0.3,0.1,0.3,30,40,10,0,10,10,30,38.2
Cam Whitmore,HOU,26,0.5,4.3,0.75,0.3,0.2,0.5,33.3,37.5,0,0,0,0,33.3,15.4
Kelly Oubre Jr.,PHI,36,0.3,2.6,0.75,0.3,0.1,0.3,44.4,50,0,25,0,0,33.3,15.4
Malcolm Brogdon,POR,39,0.4,2.5,0.6,0.2,0.1,0.3,23.1,34.6,0,13.3,0,0,20,3.9
Cam Thomas,BKN,39,0.4,1.8,0.6,0.2,0.1,0.3,30.8,34.6,0,13.3,0,0,26.7,3.9
Jonathan Kuminga,GSW,45,0.2,1.8,0.73,0.2,0.1,0.2,27.3,36.4,0,0,0,0,27.3,14
