PLAYER,TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%,FT,TOV,SF,AND ONE,SCORE,PERCENTILE
,,,,,,,,,,,FREQ%,FREQ%,FREQ%,FREQ%,FREQ%,
Dillon Brooks,HOU,40,0.8,6.2,1.16,0.9,0.3,0.7,41.4,58.6,6.3,3.1,6.3,0,43.8,29.6
Klay Thompson,GSW,44,0.7,7,1.28,0.8,0.3,0.6,50,61.5,10.3,3.4,10.3,3.4,51.7,15
Jamal Murray,DEN,37,0.7,5.4,1.42,1,0.4,0.7,56,70,7.7,0,7.7,3.8,57.7,6
Harrison Barnes,SAC,47,0.7,6.5,1.09,0.8,0.3,0.6,46.7,56.7,8.6,8.6,5.7,2.9,45.7,39.2
Patrick Williams,CHI,43,0.8,9,1.09,0.9,0.3,0.7,43.8,54.7,8.6,2.9,8.6,2.9,45.7,39.2
Damian Lillard,MIL,45,0.7,5.5,1.27,0.8,0.3,0.6,44.8,60.3,6.7,0,6.7,3.3,46.7,15.9
Jalen Green,HOU,49,0.6,6.9,1.31,0.8,0.3,0.5,53.8,71.2,3.4,6.9,3.4,0,51.7,12
Mike Conley,MIN,45,0.7,8.1,1.26,0.9,0.3,0.7,46.7,63.3,3.2,3.2,3.2,3.2,45.2,17.2
Austin Reaves,LAL,50,0.7,5.7,1.21,0.8,0.3,0.6,48.4,61.3,3,3,3,0,48.5,22.3
Fred VanVleet,HOU,47,0.8,6.6,1.11,0.9,0.3,0.6,43.3,60,8.1,13.5,8.1,2.7,40.5,34.3
Toumani Camara,POR,48,0.6,7.1,1.37,0.9,0.3,0.6,51.7,65.5,6.7,0,6.7,3.3,53.3,7.7
Luguentz Dort,OKC,48,1,8.2,0.88,0.9,0.3,0.9,29.3,39,14.3,4.1,10.2,2,36.7,67.4
Julius Randle,NYK,45,0.9,7,1.13,1,0.4,0.8,50,61.8,7.7,5.1,7.7,0,48.7,33
Mikal Bridges,BKN,48,0.9,6.9,1.1,0.9,0.3,0.7,40,51.4,12.2,2.4,12.2,0,46.3,36.9
Aaron Nesmith,IND,45,1,8.1,1.02,1,0.4,0.9,45,50,11.1,4.4,11.1,4.4,46.7,49.4
Deni Avdija,WAS,49,0.9,7.6,1.07,1,0.3,0.8,44.7,53.9,9.1,4.5,6.8,0,47.7,42.1
Ausar Thompson,DET,49,0.8,8.5,1.18,1,0.4,0.7,54.5,65.2,7.5,12.5,7.5,2.5,50,26.2
Bilal Coulibaly,WAS,47,0.8,8.2,1.27,1,0.4,0.7,53.1,64.1,8.1,5.4,8.1,0,54.1,15.5
Jeremy Sochan,SAS,50,0.9,6.6,1.11,1,0.4,0.8,52.5,58.8,2.3,6.8,2.3,0,50,33.9
Keegan Murray,SAC,43,1.2,10.6,1.06,1.3,0.5,1.1,45.7,55.4,5.8,7.7,5.8,1.9,44.2,44.6
Scottie Barnes,TOR,49,1,7.4,1.08,1.1,0.4,0.9,47.8,54.3,5.9,5.9,3.9,2,47.1,40.8
Max Strus,CLE,47,0.9,7.3,1.3,1.2,0.4,0.7,54.8,75.8,11.6,16.3,11.6,0,51.2,13.3
